"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"NMD3","ENSG00000169251","0.32","0.7740509304829283","1.0248388320060675","53.05","3.64","51.74","4.96"
"NQO2-AS1","ENSG00000224846","0.32","0.7708514790150225","1.0188679245283019","0.08","0.05","0.06","0.07"
"OMP","ENSG00000254550","0.32","0.7882579722056186","1.0097087378640777","0.04","0.04","0.03","0.04"
"OVCH1-AS1","ENSG00000257599","0.32","0.7972855892353323","1.00990099009901","0.02","0.06","0.01","0.01"
"PCDHGA2","ENSG00000081853","0.32","0.7781491089108912","1.0708154506437768","3.99","1.07","3.66","0.95"
"PDZD8","ENSG00000165650","0.32","0.7728669983800046","1.0608831400535235","46.57","8.8","43.84","8.77"
"PEX26","ENSG00000215193","0.32","0.7676982943925234","1.0386340117281823","59.22","6.69","56.98","7.19"
"PKP4","ENSG00000144283","0.32","0.7935099442242771","1.0899328859060404","55.84","14.79","51.15","8.87"
"PLIN4","ENSG00000167676","0.32","0.7972855892353323","1.0648148148148147","0.15","0.27","0.08","0.08"
"PNCK","ENSG00000130822","0.32","0.7906584598296927","1.0267857142857142","0.15","0.1","0.12","0.09"
"PPIAP67","ENSG00000237260","0.32","0.7893117721613361","1.01","0.01","0.01","0","0.01"
"PRAC1","ENSG00000159182","0.32","0.7972855892353323","1.03","0.03","0.12","0","0.01"
"PRR35","ENSG00000161992","0.32","0.7906584598296927","1.01","0.01","0.01","0","0.01"
"PSTPIP2","ENSG00000152229","0.32","0.7691043049187971","1.0546265328874027","8.46","1.58","7.97","1.82"
"RAB6C-AS1","ENSG00000225449","0.32","0.7972855892353323","1.01","0.01","0.01","0","0.01"
"RBM3","ENSG00000102317","0.32","0.75808456535533","1.055160756174969","304.87","45.37","288.88","55.96"
"REEP3","ENSG00000165476","0.32","0.7643648621121906","1.052866716306776","83.84","13.36","79.58","17.69"
"RELA","ENSG00000173039","0.32","0.7499851735015772","1.030906075682195","67.38","4.8","65.33","7.72"
"RGS2","ENSG00000116741","0.32","0.7731294158446362","1.160392798690671","6.09","4.11","5.11","4.06"
"RNA5SP385","ENSG00000251756","0.32","0.7773239145364366","1.0327868852459017","0.26","0.16","0.22","0.18"
"RNA5SP473","ENSG00000252211","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"RNASE1","ENSG00000129538","0.32","0.7948205897417137","1.01","0.01","0.01","0","0.01"
"RNY1P16","ENSG00000199933","0.32","0.7853385910833772","1.0192307692307692","0.06","0.04","0.04","0.04"
"RPL10P15","ENSG00000267119","0.32","0.7931956361763192","1.0260869565217392","0.18","0.1","0.15","0.08"
"RPL7L1P9","ENSG00000231035","0.32","0.7856080270574972","1.0098039215686274","0.03","0.03","0.02","0.03"
"RPS15AP11","ENSG00000234093","0.32","0.7867918466846685","1.0272727272727271","0.13","0.11","0.1","0.11"
"RPS26P31","ENSG00000235459","0.32","0.7925129909365558","1.0098039215686274","0.03","0.03","0.02","0.03"
"RPSAP69","ENSG00000233487","0.32","0.7972855892353323","1.00990099009901","0.02","0.02","0.01","0.02"
"RXRG","ENSG00000143171","0.32","0.7972855892353323","1.00990099009901","0.02","0.06","0.01","0.03"
"SEC16A","ENSG00000148396","0.32","0.7773239145364366","1.0502272371101709","133.03","19.59","126.62","21.12"
"SEPTIN8","ENSG00000164402","0.32","0.7893117721613361","1.0523353111212537","68.17","11.18","64.73","8.95"
"SLC10A5P1","ENSG00000205184","0.32","0.7972855892353323","1.01","0.01","0.01","0","0.01"
"SMAD2","ENSG00000175387","0.32","0.7472334585851986","1.031583209609934","75.43","4.71","73.09","11.17"
"SMG7-AS1","ENSG00000232860","0.32","0.7906584598296927","1.0096153846153846","0.05","0.04","0.04","0.03"
"SNORD114-7","ENSG00000199390","0.32","0.7972855892353323","1.0098039215686274","0.03","0.04","0.02","0.02"
"SPDYA","ENSG00000163806","0.32","0.7790274929748614","1.0178571428571428","0.14","0.07","0.12","0.08"
"SYNC","ENSG00000162520","0.32","0.790643611584327","1.1057656995960337","119.44","33.24","107.92","27.51"
"SYT6","ENSG00000134207","0.32","0.7972855892353323","1.0392156862745099","0.06","0.13","0.02","0.03"
"THAP2","ENSG00000173451","0.32","0.7685964930015553","1.046099290780142","4.9","0.85","4.64","1.16"
"TMEM161B","ENSG00000164180","0.32","0.762925462962963","1.0236646382691008","14.14","0.89","13.79","1.46"
"TOMM40P2","ENSG00000215270","0.32","0.7972855892353323","1","0","0.01","0","0"
"TRIM44","ENSG00000166326","0.32","0.7598203217411875","1.0389090215525463","53.47","5.31","51.43","9.35"
"TRIM63","ENSG00000158022","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"TRPM7","ENSG00000092439","0.32","0.7733109964577237","1.0422446406052965","81.65","10.4","78.3","13.51"
"TSPYL1","ENSG00000189241","0.32","0.7845123748588634","1.0523894330661918","69.91","11.21","66.38","10.33"
"TWSG1","ENSG00000128791","0.32","0.7571657120127286","1.0467958599427438","189.14","28.26","180.64","41.07"
"UBE2Q1-AS1","ENSG00000229780","0.32","0.7972855892353323","1.01","0.01","0.01","0","0.01"
"WNT3","ENSG00000108379","0.32","0.7761396961792235","1.0554455445544555","4.33","0.84","4.05","0.9"
"XPOTP1","ENSG00000214185","0.32","0.787403462489695","1.0341880341880343","0.21","0.1","0.17","0.1"
"Z74021.1","ENSG00000232346","0.32","0.7626370408163266","1.026315789473684","0.17","0.08","0.14","0.1"
"Z82243.1","ENSG00000273243","0.32","0.7886738166343139","1.0256410256410258","0.2","0.1","0.17","0.09"
"ZFAND3","ENSG00000156639","0.32","0.7587660153468871","1.0371630463229522","78.26","7.17","75.42","10.87"
"ZMYM2","ENSG00000121741","0.32","0.7905990140114167","1.0399305555555554","52.91","6.54","50.84","4.74"
"ZNF559-ZNF177","ENSG00000270011","0.32","0.7782274347064646","1.0096153846153846","0.05","0.04","0.04","0.04"
"ZNF844","ENSG00000223547","0.32","0.7769512473217018","1.0847092605886575","14.11","4.74","12.93","5.7"
"ABLIM3","ENSG00000173210","0.31","0.7931956361763192","1.0774515927545285","33.5","8.51","31.02","8.58"
"AC005822.1","ENSG00000235554","0.31","0.7891479146459748","1.0095238095238095","0.06","0.04","0.05","0.05"
"AC006064.2","ENSG00000247853","0.31","0.7965881059834038","1.0300751879699248","0.37","0.13","0.33","0.1"
"AC007834.2","ENSG00000256351","0.31","0.7972855892353323","1","0.03","0.03","0.03","0.03"
