"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"MYL12A","ENSG00000101608","1.53","0.36741052631578947","1.490693371067813","135.95","39.01","90.87","18.25"
"NEBL","ENSG00000078114","1.53","0.3975367514677104","1.610204717863452","153.95","43.14","95.23","42.38"
"USP32","ENSG00000170832","1.53","0.36741052631578947","1.164757228587016","41.7","4.61","35.66","2.44"
"ACBD3","ENSG00000182827","1.52","0.36741052631578947","1.2167240839336049","37.85","5.64","30.93","1.81"
"ARL4C","ENSG00000188042","1.52","0.3944678906568747","1.3435461956521741","196.77","37.06","146.2","36.66"
"CEBPB","ENSG00000172216","1.52","0.36741052631578947","1.414790996784566","7.8","1.82","5.22","1"
"IQGAP1","ENSG00000140575","1.52","0.3685367847411444","1.5349658401780917","198.96","45.24","129.27","36.69"
"LRRN4CL","ENSG00000177363","1.52","0.36741052631578947","1.2538461538461536","0.63","0.26","0.3","0.11"
"SEC24B","ENSG00000138802","1.52","0.36741052631578947","1.104443989350809","52.93","3.99","47.83","2.41"
"ZFPM2","ENSG00000169946","1.52","0.41898100984439507","1.7027027027027029","7.19","2.64","3.81","2.59"
"AC002558.1","ENSG00000239291","1.51","0.36741052631578947","1.0392156862745099","0.06","0.03","0.02","0.02"
"CEP112","ENSG00000154240","1.51","0.3798961977186312","1.4487603305785126","16.53","4.59","11.1","3.25"
"GNPTAB","ENSG00000111670","1.51","0.36741052631578947","1.1475694444444446","25.44","2.71","22.04","1.01"
"HOXA1","ENSG00000105991","1.51","0.36741052631578947","1.3354166666666667","5.41","1.22","3.8","0.69"
"MYO1C","ENSG00000197879","1.51","0.36741052631578947","1.2979063165365508","72.15","14.7","55.36","2.38"
"N4BP3","ENSG00000145911","1.51","0.3790999451453648","1.3776057176891006","22.13","4.48","15.79","4"
"RNF217-AS1","ENSG00000236548","1.51","0.36741052631578947","1.1160714285714284","0.25","0.1","0.12","0.04"
"SRF","ENSG00000112658","1.51","0.36741052631578947","1.2546778711484594","110.98","19.43","88.25","9.38"
"TMSB4X","ENSG00000205542","1.51","0.36741052631578947","1.3858248397550577","1354.6","279.03","977.19","175.8"
"TTC7A","ENSG00000068724","1.51","0.36741052631578947","1.8705137227304713","52.16","23.42","27.42","5.69"
"AC008958.1","ENSG00000251648","1.5","0.36741052631578947","1.02","0.02","0.01","0","0"
"CD63","ENSG00000135404","1.5","0.36741052631578947","1.3724610591900313","219.28","45.11","159.5","23.76"
"FAM50A","ENSG00000071859","1.5","0.36741052631578947","1.2977743668457407","66.64","13.08","51.12","5.21"
"MYL12B","ENSG00000118680","1.5","0.36741052631578947","1.4212007504690432","120.2","27.26","84.28","11.09"
"PIEZO1","ENSG00000103335","1.5","0.36741052631578947","2.000506585612969","38.49","17.5","18.74","6.05"
"RIPOR2","ENSG00000111913","1.5","0.3698882466281311","1.5097744360902254","9.04","2.34","5.65","1.63"
"SCAMP3","ENSG00000116521","1.5","0.36741052631578947","1.164267569856054","54","6.37","46.24","2.69"
"SEC14L2","ENSG00000100003","1.5","0.37754878587196466","1.469758064516129","6.29","1.64","3.96","1.3"
"SLC25A52","ENSG00000141437","1.5","0.36741052631578947","1.04","0.04","0.03","0","0.01"
"SLC44A3","ENSG00000143036","1.5","0.36967849252761525","1.452290076335878","6.61","1.75","4.24","1.16"
"TENT5A","ENSG00000112773","1.5","0.36741052631578947","1.5676328502415457","11.98","3.68","7.28","1.54"
